nameAR,nameFR,wilayaCode,wilayaNameAR,wilayaNameFR,cityNameAR,cityNameFR,rating,recommended,category,descriptionAR,descriptionFR,descriptionEN,phone,email,location_link,facebook_link,instagram_link,tiktok_link,created_at,updated_at
مطعم الجنينة,El Djenina,16,الجزائر,Alger,NULL,NULL,4.5,false,2,مطعم تاريخي وفاخر,Restaurant historique et luxueux,NULL,NULL,NULL,https://maps.app.goo.gl/T3fxx4Joym3pnEp79,NULL,NULL,NULL,NULL,NULL
دار يما,Dar Yemma Casbah,16,الجزائر,Alger,القصبة,Casbah,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/TgdEo46nEPJLUVju6,NULL,NULL,NULL,NULL,NULL
مطعم دار البركة,Dar El Baraka,16,الجزائر,Alger,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/14ZKaeYANETnBQWZ6,NULL,NULL,NULL,NULL,NULL
خيمة المأكولات التقليدية,El Kheima,16,الجزائر,Alger,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/NtdWBf8NqkgQY8GD8,NULL,NULL,NULL,NULL,NULL
خيمة الحاج إبراهيم,Khaymat El Hadj Ibrahim,16,الجزائر,Alger,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/AzmPQQPcEmZfYUNS7,NULL,NULL,NULL,NULL,NULL
خيمة الحاج بوعلام للمأكولات التقليدية,Khaymat El Hadj Boualem,16,الجزائر,Alger,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/jxrkyA3UvdohSQTE7,NULL,NULL,NULL,NULL,NULL
خيمة ماما يمينة ماكولات تقليدية,Khaymat Mama Yemma,16,الجزائر,Alger,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/ieDgn8AhCjvgP9Xd9,NULL,NULL,NULL,NULL,NULL
خيمة المأكولات التقليدية,Khayma localina,16,الجزائر,Alger,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/sVNqZWoRytQEzYdK8,NULL,NULL,NULL,NULL,NULL
خيمة tradimix للمأكولات التقليدية والعصرية,Khayma tradimix,16,الجزائر,Alger,سيدي محمد,Sidi M'Hamed,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/SzD6S1MJsTzAwkbf7,NULL,NULL,NULL,NULL,NULL
خيمة جدي للماكولات التقليدية,Khaymat Jaddi,16,الجزائر,Alger,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/HnAEUUC1kz5bq7hA9,NULL,NULL,NULL,NULL,NULL
خيمة دار جدي للمأكولات التقليدية (الثانية),Khaymat Dar Jaddi,16,الجزائر,Alger,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/KuyP3HhVR7YmyUvR9,NULL,NULL,NULL,NULL,NULL
خيمة المدية للمأكولات التقليدية,Khaymat El Medea,26,المدية,Médéa,المدية,Medea,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/fbGKVDDxBDUSbm1p9,NULL,NULL,NULL,NULL,NULL
خيمة الشيخ عطاء الله,Khaymat Cheikh Attallah,17,الجلفة,Djelfa,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/WgGhDCkh67cTyndX9,NULL,NULL,NULL,NULL,NULL
خيمة اولاد نايل,Khaymat Ouled Nail,17,الجلفة,Djelfa,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/EyFoYRDGR9CpNXrH9,NULL,NULL,NULL,NULL,NULL
خيمة الحاج إبراهيم,Khaymat El Hadj Ibrahim,06,بجاية,Béjaïa,الصومعة,Soumaa,4.5,false,2,وادي الصومام,Oued Soummam,NULL,NULL,NULL,https://maps.app.goo.gl/oZKhz6o7UhWx4CVR8,NULL,NULL,NULL,NULL,NULL
خيمة الحاج احسن,Khaymat El Hadj Ahcene,16,الجزائر,Alger,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/SwWtCMbkqTkKC9R17,NULL,NULL,NULL,NULL,NULL
